shape,x,y,width,height,x_func,y_func,x_scale,y_scale,x_cycle_size,y_cycle_size,x_offset,y_offset,red,green,blue
tri,0.0,-0.1,0.2,0.2,lin,lin,4.0,0.0,700,700,160,0,0,140,0
tri,0.0,-0.1,0.2,0.2,lin,lin,4.0,0.0,700,700,205,0,0,140,0
tri,0.0,-0.1,0.2,0.2,lin,lin,4.0,0.0,700,700,190,0,0,150,0
tri,0.0,-0.1,0.2,0.2,lin,lin,4.0,0.0,700,700,235,0,0,150,0
tri,0.0,-0.1,0.2,0.2,lin,lin,4.0,0.0,700,700,280,0,0,160,0
tri,0.0,-0.1,0.2,0.2,lin,lin,4.0,0.0,700,700,325,0,0,160,0
tri,0.0,-0.1,0.2,0.2,lin,lin,4.0,0.0,700,700,370,0,0,100,0
tri,0.0,-0.1,0.2,0.2,lin,lin,4.0,0.0,700,700,415,0,0,100,0
tri,0.0,-0.1,0.2,0.2,lin,lin,4.0,0.0,700,700,430,0,0,110,0
tri,0.0,-0.1,0.2,0.2,lin,lin,4.0,0.0,700,700,475,0,0,110,0
tri,0.0,-0.1,0.2,0.2,lin,lin,4.0,0.0,700,700,480,0,0,110,0
tri,0.0,-0.1,0.2,0.2,lin,lin,4.0,0.0,700,700,525,0,0,110,0
tri,0.0,-0.1,0.2,0.2,lin,lin,4.0,0.0,700,700,540,0,0,140,0
tri,0.0,-0.1,0.2,0.2,lin,lin,4.0,0.0,700,700,585,0,0,140,0
tri,0.0,-0.1,0.2,0.2,lin,lin,4.0,0.0,700,700,630,0,0,120,0
tri,0.0,-0.1,0.2,0.2,lin,lin,4.0,0.0,700,700,675,0,0,120,0
tri,0.0,-0.2,0.3,0.3,lin,lin,5.0,0.0,500,500,0,0,0,140,0
tri,0.0,-0.21,0.3,0.3,lin,lin,5.0,0.0,500,500,25,0,0,150,0
tri,0.0,-0.19,0.3,0.3,lin,lin,5.0,0.0,500,500,50,0,0,120,0
tri,0.0,-0.21,0.3,0.3,lin,lin,5.0,0.0,500,500,75,0,0,110,0
tri,0.0,-0.21,0.3,0.3,lin,lin,5.0,0.0,500,500,100,0,0,100,0
tri,0.0,-0.2,0.3,0.3,lin,lin,5.0,0.0,500,500,125,0,0,160,0
tri,0.0,-0.2,0.3,0.3,lin,lin,5.0,0.0,500,500,150,0,0,140,0
tri,0.0,-0.19,0.3,0.3,lin,lin,5.0,0.0,500,500,175,0,0,120,0
tri,0.0,-0.2,0.3,0.3,lin,lin,5.0,0.0,500,500,200,0,0,130,0
tri,0.0,-0.19,0.3,0.3,lin,lin,5.0,0.0,500,500,225,0,0,160,0
tri,0.0,-0.2,0.3,0.3,lin,lin,5.0,0.0,500,500,250,0,0,100,0
tri,0.0,-0.21,0.3,0.3,lin,lin,5.0,0.0,500,500,275,0,0,120,0
tri,0.0,-0.2,0.3,0.3,lin,lin,5.0,0.0,500,500,300,0,0,130,0
tri,0.0,-0.21,0.3,0.3,lin,lin,5.0,0.0,500,500,325,0,0,150,0
tri,0.0,-0.2,0.3,0.3,lin,lin,5.0,0.0,500,500,350,0,0,120,0
tri,0.0,-0.21,0.3,0.3,lin,lin,5.0,0.0,500,500,375,0,0,110,0
tri,0.0,-0.21,0.3,0.3,lin,lin,5.0,0.0,500,500,400,0,0,150,0
tri,0.0,-0.2,0.3,0.3,lin,lin,5.0,0.0,500,500,425,0,0,140,0
tri,0.0,-0.2,0.3,0.3,lin,lin,5.0,0.0,500,500,450,0,0,130,0
tri,0.0,-0.2,0.3,0.3,lin,lin,5.0,0.0,500,500,475,0,0,100,0
tri,0.0,-0.35,0.35,0.35,lin,lin,6.0,0.0,300,300,0,0,0,120,0
tri,0.0,-0.35,0.35,0.35,lin,lin,6.0,0.0,300,300,15,0,0,120,0
tri,0.0,-0.34,0.35,0.35,lin,lin,6.0,0.0,300,300,30,0,0,110,0
tri,0.0,-0.33,0.35,0.35,lin,lin,6.0,0.0,300,300,45,0,0,140,0
tri,0.0,-0.35,0.35,0.35,lin,lin,6.0,0.0,300,300,60,0,0,130,0
tri,0.0,-0.36,0.35,0.35,lin,lin,6.0,0.0,300,300,75,0,0,120,0
tri,0.0,-0.35,0.35,0.35,lin,lin,6.0,0.0,300,300,90,0,0,110,0
tri,0.0,-0.36,0.35,0.35,lin,lin,6.0,0.0,300,300,105,0,0,120,0
tri,0.0,-0.36,0.35,0.35,lin,lin,6.0,0.0,300,300,120,0,0,140,0
tri,0.0,-0.34,0.35,0.35,lin,lin,6.0,0.0,300,300,135,0,0,150,0
tri,0.0,-0.35,0.35,0.35,lin,lin,6.0,0.0,300,300,150,0,0,120,0
tri,0.0,-0.35,0.35,0.35,lin,lin,6.0,0.0,300,300,165,0,0,110,0
tri,0.0,-0.34,0.35,0.35,lin,lin,6.0,0.0,300,300,180,0,0,110,0
tri,0.0,-0.33,0.35,0.35,lin,lin,6.0,0.0,300,300,195,0,0,150,0
tri,0.0,-0.35,0.35,0.35,lin,lin,6.0,0.0,300,300,210,0,0,120,0
tri,0.0,-0.36,0.35,0.35,lin,lin,6.0,0.0,300,300,225,0,0,130,0
tri,0.0,-0.36,0.35,0.35,lin,lin,6.0,0.0,300,300,240,0,0,140,0
tri,0.0,-0.35,0.35,0.35,lin,lin,6.0,0.0,300,300,255,0,0,110,0
tri,0.0,-0.34,0.35,0.35,lin,lin,6.0,0.0,300,300,270,0,0,110,0
tri,0.0,-0.34,0.35,0.35,lin,lin,6.0,0.0,300,300,285,0,0,100,0
rect,0.0,-0.6,0.1,0.1,lin,sin,0.0,0.1,50,50,0,0,245,15,15
rect,0.5,-0.4,0.6,0.2,lin,sin,0.0,0.1,50,50,0,30,15,15,225
